1,Выгуливал собаку,Быт
1,Выкидывал мусор,Быт
1,Вытерал пыль,Быт
1,Готовил бутерброды,Быт
1,Готовил еду,Быт
1,Готовил завтрак,Быт
1,Готовил обед,Быт
1,Готовил перекус,Быт
1,Готовил ужин,Быт
1,Ездил в гипермаркет,Быт
1,Ездил в магазин,Быт
1,Ездил в маркет,Быт
1,Ездил в супермаркет,Быт
1,Ездил на рынок,Быт
1,Завтракал,Быт
1,Копал огород,Быт
1,Кормил зверей,Быт
1,Кормил кошку,Быт
1,Кормил крысу,Быт
1,Кормил морскую свинку,Быт
1,Кормил питомцев,Быт
1,Кормил попугаев,Быт
1,Кормил рыбок,Быт
1,Кормил собаку,Быт
1,Кормил хомячка,Быт
1,Красил,Быт
1,Кушал,Быт
1,Мыл пол,Быт
1,Мыл посуду,Быт
1,Обедал,Быт
1,Оплачивал счета,Быт
1,Перекусывал,Быт
1,Полировал,Быт
1,Протирал,Быт
1,Размораживал холодильник,Быт
1,Ремонтировал,Быт
1,Собирал вещи,Быт
1,Стирал,Быт
1,Убирал дом,Быт
1,Убирал за кошкой,Быт
1,Убирал за собакой,Быт
1,Убирал квартиру,Быт
1,Убирал комнату,Быт
1,Ужинал,Быт
1,Ходил в гипермаркет,Быт
1,Ходил в магазин,Быт
1,Ходил в маркет,Быт
1,Ходил в супермаркет,Быт
1,Ходил за покупками,Быт
1,Ходил на рынок,Быт
1,Чинил,Быт
1,Чистил инструмекнт,Быт
1,Чистил клавиатуру,Быт
1,Чистил монитор,Быт
1,Чистил мышку,Быт
1,Чистил обувь,Быт
1,Был в университете,Обучение
1,Был в школе,Обучение
1,Делал уроки,Обучение
1,Изучал книгу,Обучение
1,Изучал курс,Обучение
1,Изучал онлайн уроки,Обучение
1,Консультировался,Обучение
1,Писал соченение,Обучение
1,Практиковал,Обучение
1,Прошел курс,Обучение
1,Сидел в университете,Обучение
1,Сидел в школе,Обучение
1,Учился на Ютубе,Обучение
1,Учился на YouTube,Обучение
1,Читал книгу для развития,Обучение
1,Чтитал статью,Обучение
1,Гулял,Отдых
1,Кимарил,Отдых
1,Купался,Отдых
1,Принимал душ,Отдых
1,Раскисал в ванной,Отдых
1,Слушал музыку,Отдых
1,Смотрел видио,Отдых
1,Смотрел фильм,Отдых
1,Смотрел Ютуб,Отдых
1,Смотрел YouTube,Отдых
1,Спал,Отдых
1,Консультировал,Помощь другим
1,Помогал,Помощь другим
1,Помогал с домашним заданием,Помощь другим
1,Помогал с работой,Помощь другим
1,Помогал с ремонтом,Помощь другим
1,Помогал с рефератом,Помощь другим
1,Помогал с сочинением,Помощь другим
1,Помогал с уборкой,Помощь другим
1,Выполнял поставленную задачу,Работа
1,Правил дизайн,Работа
1,Работал,Работа
1,Сидел на работе,Работа
1,Создавал БД,Работа
1,Бегал,Спорт
1,Занимался в спортзале,Спорт
1,Катался на лыжах,Спорт
1,Плавал,Спорт
1,Тренировался,Спорт
1,Учавствовал на соревновании,Спорт
1,Вырезал по дереву,Хобби
1,Играл в казино,Хобби
1,Играл в карты,Хобби
1,Играл в копьютерные игры,Хобби
1,Играл в настольные игры,Хобби
1,Играл в шахматы,Хобби
1,Играл в шашки,Хобби
1,Катался на автомобиле,Хобби
1,Катался на велосипеде,Хобби
1,Катался на лошади,Хобби
1,Катался на машине,Хобби
1,Коллекционировал,Хобби
1,Летал на воздушном шаре,Хобби
1,Пел,Хобби
1,Рисовал,Хобби
1,Слушал книгу,Хобби
1,Собирал конструктор,Хобби
1,Танцевал,Хобби
1,Читал книгу,Хобби
1,Учился,Обучение
